node_id,CONSUM,code
15300,6149,PR0022353
15302,1175,PR0022352
15304,1175,PR0022351
15309,1105,PR0022350
15310,1105,PR0022349
15312,1105,PR0022348
15314,796,PR0022347
15316,796,PR0022346
15318,890,PR0022345
1532,3360,PR0024192
15321,592,PR0022343
15322,440,PR0022344
1533,2486,PR0024191
15367,164,PR0022342
15380,96,PR0022341
15388,52072,PR0022340
15397,25,PR0022337
15399,39,PR0022336
15445,18088,PR0030017
15450,38636,PR0022328
15452,8880,PR0022327
15458,598,PR0022326
15479,110,PR0020765
15481,110,PR0020764
15483,110,PR0020763
15486,110,PR0022325
15487,110,PR0020762
15489,110,PR0022324
15492,110,PR0022322
15493,110,PR0022323
15504,110,PR0022321
15506,18432,PR0022320
15508,18432,PR0022319
15510,100,PR0000951
15511,18432,PR0022318
15513,18432,PR0022316
15514,18432,PR0022317
15518,108,PR0022315
15520,110,PR0022313
15523,100,PR0022312
15525,286,PR0022310
15526,286,PR0022311
15531,57,PR0022309
15532,413,PR0022308
15561,145,PR0022307
15563,55,PR0022306
15566,185,PR0004217
15573,145,PR0022305
15579,90,PR0022304
1558,6,PR0024190
15582,185,PR0022303
15583,75,PR0022302
15590,145,PR0022301
15595,1302,PR0022300
15614,1796,PR0022296
15615,1800,PR0022295
15621,11400,PR0022294
15622,11400,PR0021115
15623,11400,PR0021114
15664,17670,PR0022285
15724,165,PR0021637
15733,90,PR0021636
15737,3945,PR0021634
15739,3945,PR0021633
15745,3945,PR0021629
15759,6405,PR0022284
1576,9600,PR0024189
15774,3222,PR0022283
15778,304,PR0022282
1578,9600,PR0024188
15787,1629,PR0022280
15796,3553,PR0020542
1580,9600,PR0024187
15809,136,PR0022279
15810,6405,PR0022278
1582,441,PR0024186
15825,520,PR0010837
15834,20957,PR0022274
15837,20957,PR0022273
15839,20957,PR0021112
15843,880,PR0022596
15846,880,PR0022271
15847,880,PR0022270
15850,270,PR0022269
15852,4693,PR0022268
15858,7680,PR0022267
15859,6496,PR0022266
1599,58,PR0024184
1600,58,PR0024183
1605,726,PR0024181
1606,726,PR0024182
1607,726,PR0024180
16080,0,PR0020091
16087,45,PR0015071
16095,150,PR0015069
16096,160,PR0015070
1610,822,PR0024179
16112,244,PR0022264
16129,6,PR0022262
16140,164,PR0022261
16143,164,PR0022260
16156,8484,PR0022258
16171,42,PR0022257
1619,13620,PR0024178
16203,275,PR0022254
16204,275,PR0022253
1622,8687,PR0024177
16224,275,PR0022248
1623,110760,PR0024176
16255,1300,PR0022246
16256,1300,PR0022245
1627,176,PR0024154
16305,400,PR0022244
1631,28532,PR0024175
16310,230,PR0022243
16336,616,PR0022240
16342,616,PR0022239
16345,616,PR0022237
16346,616,PR0022238
1636,335,PR0024174
16416,136,PR0022234
16417,410,PR0022233
16442,0,PR0022232
16447,258,PR0022231
16450,258,PR0022230
16453,408,PR0022229
16456,840,PR0022228
16458,690,PR0022227
16460,690,PR0022225
16461,690,PR0022226
1648,18,PR0021075
16491,37400,PR0022223
16493,5886,PR0022222
16494,5886,PR0022221
16497,11853,PR0022220
16499,11853,PR0022219
16500,54110,PR0022218
16501,54110,PR0022217
16503,88,PR0022216
16506,88,PR0022215
16507,312,PR0022214
16508,3480,PR0022213
16509,3480,PR0022212
16515,51,PR0022211
16519,600,PR0022210
16533,16008,PR0030223
16545,490,PR0022207
16551,520,PR0022205
16563,2160,PR0022204
16569,6375,PR0022203
16571,6375,PR0022202
16575,6375,PR0022201
16582,0,PR0022200
16590,5520,PR0022199
16596,5520,PR0022198
16598,80,PR0022196
16599,5520,PR0022197
1660,69,PR0024172
16604,11780,PR0002181
1661,69,PR0024173
16611,8206,PR0022194
16612,11780,PR0022195
16614,1208,PR0022193
1662,69,PR0024171
16621,3553,PR0022192
16627,5370,PR0022190
16628,3990,PR0022191
1663,69,PR0024170
16632,27,PR0022188
16633,5370,PR0022189
16646,7584,PR0022186
16647,20768,PR0022187
16657,3411,PR0022185
16659,11780,PR0022184
16667,1208,PR0022183
16669,3553,PR0022182
16683,3990,PR0022181
16686,5370,PR0022180
16687,27,PR0022179
16693,6501,PR0022178
16695,6501,PR0022177
16697,6501,PR0022175
16698,6501,PR0022176
1672,33264,PR0024169
1673,33264,PR0024168
16738,7680,PR0030222
16741,6496,PR0030221
16742,37400,PR0030220
16745,37400,PR0030219
16746,5886,PR0030218
16749,5886,PR0030217
16750,11853,PR0030216
16752,11853,PR0030215
1676,63,PR0030361
16764,5478,PR0022167
16765,5478,PR0022166
16766,5478,PR0022165
16769,5478,PR0022164
16774,5478,PR0022163
16777,5478,PR0022162
16779,5478,PR0022161
16782,5478,PR0022159
16783,5478,PR0022160
16785,5478,PR0022158
16787,5478,PR0022157
16789,5478,PR0022155
16790,5478,PR0022156
16796,54110,PR0030214
16798,54110,PR0030213
16801,88,PR0030212
16803,88,PR0030211
16804,88,PR0030210
16807,312,PR0030209
16809,312,PR0030208
16899,312,PR0030207
16902,1300,PR0030206
16903,1300,PR0030205
16906,3795,PR0030204
16908,3795,PR0030203
16910,16842,PR0030201
16912,810,PR0030202
1695,36,PR0024167
17,126,PR0030365
17087,96,PR0022113
17094,96,PR0022112
17095,96,PR0022111
17096,96,PR0022110
17097,96,PR0022108
17098,96,PR0022109
17107,96,PR0022107
17109,96,PR0022106
17110,96,PR0022104
17111,96,PR0022105
17114,96,PR0022103
17119,96,PR0022102
17139,96,PR0022101
17141,96,PR0022100
17142,96,PR0022099
17144,96,PR0022097
17145,96,PR0022098
17150,96,PR0022096
17151,96,PR0022095
17153,96,PR0022094
17162,96,PR0022093
17163,96,PR0022092
17172,96,PR0022091
17174,96,PR0022090
17175,96,PR0022088
17176,96,PR0022089
17186,96,PR0022087
17187,96,PR0022086
17202,96,PR0022085
17203,96,PR0022084
17204,96,PR0022082
17205,96,PR0022083
17270,4438,PR0011039
1728,0,PR0024163
1729,0,PR0024162
17294,96,PR0022081
1730,0,PR0001628
17301,4438,PR0022080
17310,25,PR0022077
17349,1015,PR0022076
17356,2040,PR0022075
17357,522,PR0022074
17383,138,PR0022062
17400,33,PR0022054
17401,1640,PR0022053
17402,13437,PR0021588
17403,174,PR0001259
17404,2016,PR0021595
17405,36,PR0021619
17410,4488,PR0021715
17411,4488,PR0021716
17422,57,PR0021914
17423,57,PR0021913
17426,246,PR0001258
17428,3828,PR0022012
17429,1015,PR0022011
17430,1015,PR0022013
17431,1015,PR0022009
17433,1328,PR0022027
17434,1328,PR0022026
17435,540,PR0021809
17436,410,PR0010577
17439,17640,PR0022047
17462,232,PR0022045
17465,232,PR0022044
17467,20957,PR0022043
17471,20957,PR0022041
17472,20957,PR0022042
17510,1002,PR0001524
17514,2772,PR0001736
17519,159597,PR0001796
17520,159597,PR0001797
17524,696,PR0001799
17527,159597,PR0001798
17528,820,PR0003680
17529,156,PR0001931
17530,325,PR0000250
17531,325,PR0000249
17532,160,PR0000429
17534,71858,PR0003044
17543,26001,PR0030050
17555,3696,PR0022038
17557,3696,PR0022037
17560,168,PR0002665
17597,384,PR0022035
17603,384,PR0022034
17606,18,PR0021076
17607,660,PR0022032
17611,22,PR0022031
17621,22,PR0022030
17622,1881,PR0022029
17624,21,PR0022028
17630,22200,PR0020118
17638,297,PR0022025
17641,297,PR0022023
17642,297,PR0022024
17646,297,PR0022022
1766,1992,PR0024160
17673,7,PR0022021
17677,414,PR0022020
17678,414,PR0022019
17680,297,PR0022018
17683,150,PR0022016
17684,7,PR0022017
1769,120,PR0024159
17693,291,PR0022014
17697,1015,PR0022010
17702,648,PR0022007
17704,648,PR0022006
17707,648,PR0022005
17720,980,PR0022004
17733,0,PR0022001
17737,70,PR0022000
17741,42,PR0021998
17742,140,PR0021999
1776,55,PR0024158
17761,96,PR0021996
17763,164,PR0021995
1777,696,PR0000409
17778,869,PR0021993
1779,1170,PR0024157
17790,3640,PR0021991
17793,3480,PR0021990
178,88,PR0000222
17803,160,PR0021989
17806,246,PR0021988
17809,171,PR0011153
17835,56,PR0030153
17837,744,PR0030133
17838,744,PR0030132
17842,16008,PR0030157
17843,3870,PR0030156
17844,162,PR0030155
17845,8512,PR0030154
17846,114,PR0030152
17847,204,PR0030151
17848,812,PR0030150
17849,1550,PR0030149
17850,1704,PR0030148
17851,4356,PR0030147
17852,4356,PR0030146
17853,6900,PR0030145
17854,6900,PR0030144
17855,9982,PR0030143
17856,6160,PR0030142
17857,6160,PR0030141
17858,4578,PR0030140
17859,2888,PR0030139
1786,23,PR0001879
17860,2888,PR0030138
17861,0,PR0030137
17862,744,PR0030136
17863,744,PR0030135
17864,744,PR0030134
17865,744,PR0030131
17866,165,PR0030130
17867,165,PR0030129
17869,81,PR0030128
17870,81,PR0030127
17871,384,PR0022036
17872,384,PR0030180
17873,384,PR0022033
17877,384,PR0030109
17890,384,PR0030120
17891,384,PR0030119
17892,384,PR0030118
17893,384,PR0030117
17894,384,PR0030116
17895,384,PR0030115
17896,384,PR0030114
17897,384,PR0030113
17898,384,PR0030112
17899,384,PR0030111
179,393,PR0000215
17900,384,PR0030110
17901,384,PR0030108
17902,384,PR0030107
17903,384,PR0030106
17904,384,PR0030105
17905,384,PR0030104
17906,384,PR0030102
17907,384,PR0030101
17908,384,PR0030099
17909,384,PR0030100
1791,810,PR0024278
17910,384,PR0030098
17911,384,PR0030097
17912,384,PR0030096
17913,384,PR0030095
17914,384,PR0030082
17915,384,PR0030081
17916,384,PR0030080
17917,384,PR0030079
17918,384,PR0030078
17919,384,PR0030077
17927,869,PR0021987
17929,869,PR0021986
17933,990,PR0021985
17940,990,PR0021983
17942,990,PR0021982
17945,869,PR0021981
17948,990,PR0021980
17950,628,PR0021979
17952,628,PR0021978
17966,565,PR0021976
17969,565,PR0021975
17972,92334,PR0021971
17974,92334,PR0021974
17978,7973,PR0021972
180,128,PR0000219
18000,7973,PR0001569
18011,22200,PR0021970
18015,92334,PR0021969
1811,22,PR0024155
18152,130,PR0021961
18155,66,PR0021960
18164,42,PR0021958
18165,171,PR0021959
18171,80613,PR0021956
18181,294,PR0021955
18186,32,PR0021954
18192,32,PR0021953
18195,32,PR0021952
18210,4,PR0021951
18213,48,PR0021950
18215,24,PR0021949
18216,48,PR0021948
18237,74,PR0021947
18282,5145,PR0021946
18285,140,PR0021945
18288,875,PR0001447
18291,150,PR0021944
18293,150,PR0021943
18297,940,PR0021942
18300,140,PR0021941
18306,1467,PR0021940
18311,174,PR0021939
1832,3870,PR0011103
18335,1710,PR0021938
18336,2169,PR0021937
18339,672,PR0021935
18340,756,PR0021936
