code,node_id_old,node_id_new
PR0024026,3341,13467
PR0024027,3342,13468
PR0024025,3346,13469
PR0024009,3561,13491
PR0020925,25105,16401
PR0020228,34610,18427
PR0020227,34612,18428
PR0022048,34626,18429
PR0020197,34730,18442
PR0020160,34927,18476
PR0024008,3562,13492
PR0024007,3563,13493
PR0023992,3637,13508
PR0023990,3640,13509
PR0023973,3747,13523
PR0023972,3756,13524
PR0023971,3766,13525
PR0020923,25107,16402
PR0020911,25130,16414
PR0020910,25132,16415
PR0020909,25134,16416
PR0015159,35740,18544
PR0002171,35882,18555
PR0002172,35883,18556
PR0003914,4161,13582
PR0023921,4165,13583
PR0023909,4320,13597
PR0023908,4321,13598
PR0023907,4324,13599
PR0030342,4467,13615
PR0030343,4468,13616
PR0030340,4478,13617
PR0023684,6212,13879
PR0010985,4546,13633
PR0030299,6364,13634
PR0023869,4707,13647
PR0002173,35884,18557
PR0002244,35885,18558
PR0023867,4726,13649
PR0023868,4727,13650
PR0030335,4733,13651
PR0023848,4919,13671
PR0023831,5066,13690
PR0023829,5093,13691
PR0023783,5301,13736
PR0002320,5737,13788
PR0002321,5740,13789
PR0002246,35887,18559
PR0002245,35888,18560
PR0002260,35902,18573
PR0002258,35904,18575
PR0010203,8798,14287
PR0010199,8799,14288
PR0010200,8800,14289
PR0022265,5742,13791
PR0023738,5745,13792
PR0023702,5824,13826
PR0023689,5902,13839
PR0023678,5907,13840
PR0023673,5936,13845
PR0023663,6045,13857
PR0023662,6046,13858
PR0023661,6050,13859
PR0020674,27855,17444
PR0020873,25197,16428
PR0023324,8821,14304
PR0023660,6064,13860
PR0023686,6204,13876
PR0023688,6210,13877
PR0023687,6211,13878
PR0030249,6252,13895
PR0030250,6253,13896
PR0030322,6292,13909
PR0030297,6367,13925
PR0030296,6368,13926
PR0003933,36149,18638
PR0003934,36150,18639
PR0003940,36151,18640
PR0003935,36152,18641
PR0002147,36167,18655
PR0005144,533,13111
PR0000409,1777,13285
PR0023636,6460,13962
PR0023635,6470,13963
PR0023634,6472,13964
PR0023621,6558,13976
PR0000623,34385,18381
PR0010035,36514,18775
PR0002949,36520,18777
PR0002893,36568,18793
PR0002892,36573,18794
PR0002891,36577,18795
PR0002904,36628,18811
PR0002659,36749,18841
PR0010016,36750,18842
PR0010015,36751,18843
PR0010863,36794,18855
PR0023620,6562,13977
PR0023618,6574,13978
PR0023599,6670,13995
PR0023598,6672,13996
PR0023597,6675,13997
PR0005479,6694,13998
PR0030326,6786,14012
PR0023587,6789,14014
PR0020872,25198,16429
PR0020871,25200,16430
PR0003803,37366,18936
PR0003805,37367,18937
PR0003869,37382,18950
PR0023586,6791,14015
PR0020518,6865,14027
PR0023578,6867,14028
PR0023577,6870,14029
PR0023576,6874,14030
PR0023551,7038,14045
PR0023550,7044,14046
PR0023549,7046,14047
PR0020870,25202,16431
PR0020782,25822,16505
PR0020781,25824,16506
PR0020761,25922,16522
PR0020760,25924,16523
PR0023500,7480,14082
PR0023499,7506,14083
PR0001301,7683,14098
PR0023484,7694,14099
PR0023460,7809,14121
PR0023436,7973,14149
PR0023435,7974,14150
PR0003140,8078,14174
PR0010153,37477,18999
PR0010104,37560,19015
PR0011243,38025,19167
PR0011250,38064,19182
PR0011249,38065,19183
PR0004119,38243,19197
PR0015154,38245,19198
PR0011173,38522,19211
PR0023430,8090,14177
PR0023412,8219,14192
PR0001624,8333,14207
PR0030272,8482,14225
PR0023366,8560,14226
PR0023365,8562,14227
PR0001538,8713,14253
PR0020747,25938,16537
PR0021314,25945,16538
PR0011176,38523,19212
PR0011174,38524,19213
PR0004263,38559,19244
PR0004262,38560,19245
PR0004260,38561,19246
PR0003987,38943,19356
PR0004008,38961,19372
PR0001701,8714,14254
PR0001856,8716,14255
PR0001699,8717,14256
PR0002843,8780,14270
PR0002845,8781,14271
PR0002846,8782,14272
PR0010201,8797,14286
PR0005489,9346,14368
PR0005490,9348,14369
PR0005488,9350,14370
PR0020728,26036,16553
PR0001271,39046,19387
PR0004129,39530,19469
PR0004178,39531,19470
PR0004177,39532,19471
PR0023248,9517,14393
PR0023246,9518,14394
PR0023223,9591,14408
PR0023224,9592,14409
PR0023222,9593,14410
PR0023219,9600,14413
PR0020726,26037,16554
PR0000690,26111,16568
PR0022217,16501,15262
PR0022196,16598,15280
PR0022184,16659,15294
PR0022183,16667,15295
PR0022166,16765,15313
PR0004019,39550,19487
PR0001607,9606,14416
PR0010050,36418,18726
PR0023184,9756,14441
PR0023168,9806,14458
PR0023156,9852,14469
PR0023155,9855,14470
PR0023154,9856,14471
PR0023153,9859,14472
PR0023138,9960,14486
PR0023137,9962,14487
PR0023108,10116,14514
PR0023106,10122,14515
PR0004936,26116,16570
PR0004941,26117,16571
PR0004935,26119,16572
PR0004902,26131,16582
PR0004017,39551,19488
PR0004086,39655,19503
PR0001833,39850,19597
PR0001832,39851,19598
PR0001585,39919,19612
PR0001485,39920,19613
PR0001489,39921,19614
PR0015253,39961,19629
PR0023075,10305,14543
PR0000424,10307,14544
PR0023057,10432,14561
PR0023029,10540,14589
PR0023030,10541,14590
PR0023013,10611,14605
PR0022998,10637,14620
PR0022995,10661,14624
PR0021950,18213,15546
PR0021937,18336,15561
PR0001636,40360,19693
PR0001639,40378,19709
PR0015194,40448,19724
PR0015192,40463,19725
PR0015177,40510,19738
PR0001653,40529,19756
PR0002814,40703,19771
PR0002818,40706,19773
PR0022973,10763,14637
PR0022956,10868,14655
PR0022954,10875,14656
PR0022932,10969,14675
PR0022814,11183,14690
PR0010051,36419,18727
PR0022890,11345,14704
PR0022891,11346,14705
PR0022874,11427,14724
PR0004903,26132,16583
PR0004927,26134,16584
PR0002556,40735,19799
PR0015152,40939,19834
PR0015134,40996,19851
PR0030228,11464,14725
PR0002097,11664,14740
PR0022865,11666,14741
PR0022855,11730,14742
