code,longitude,latitude,pat1,value,dwfscencario_id,node_id
PR0000469,41.99798781486162,2.836096479513313,hora,0.0959770463316562,2,13156
PR0023063,41.99109527780197,2.8056830213465003,hora,14.399418308932312,2,14556
PR0023062,41.99077621995805,2.8057870191576524,hora,14.399418308932312,2,14557
PR0023060,41.98994961230685,2.806059483449484,hora,0.4038017938894693,2,14558
PR0023061,41.9903502682052,2.8059270391097995,hora,0.0126188060590459,2,14559
PR0023059,41.99080945110273,2.806121823567663,hora,14.399418308932312,2,14560
PR0023057,41.9900298618874,2.8066059961596133,hora,0.4038017938894693,2,14561
PR0023058,41.99042118865428,2.806356318882968,hora,0.0471102092871047,2,14562
PR0023055,41.992030800895016,2.805356406312207,hora,0.7117384398693398,2,14563
PR0023056,41.99161802162981,2.805610917899412,hora,14.399418308932312,2,14564
PR0023053,41.9898066480409,2.8024172466930635,hora,3.3917039526978434,2,14565
PR0023054,41.99024309470591,2.8022756872217744,hora,0.0482816719443528,2,14566
PR0023052,41.99104794707687,2.802011328837438,hora,0.0,2,14567
PR0023051,41.99146834087194,2.8018736405969427,hora,0.0,2,14568
PR0023050,41.98997200719621,2.800731223421942,hora,0.1085118732177555,2,14569
PR0023048,41.98988159267074,2.8028114832695663,hora,3.3917039526978434,2,14570
PR0023049,41.99031941430229,2.8026678576241246,hora,0.0482816719443528,2,14571
PR0023046,41.99147170248262,2.802283802600579,hora,0.0,2,14572
PR0023047,41.99103319901643,2.802433906750608,hora,0.0482816719443528,2,14573
PR0023045,41.99058653345448,2.802582959465368,hora,0.0482816719443528,2,14574
PR0023044,41.99051106917887,2.8021907728146487,hora,0.0482816719443528,2,14575
PR0023043,41.990417293647454,2.8016943094588327,hora,0.0,2,14576
PR0023042,41.99031625275319,2.801143445419431,hora,0.0299275752678517,2,14577
PR0023041,41.99042963505737,2.8005842016627565,hora,0.1085118732177555,2,14578
PR0023039,41.99118144050982,2.8003339428701746,hora,2.382952902158627,2,14579
PR0023040,41.99076294056239,2.8004719848380457,hora,2.382952902158627,2,14580
PR0023038,41.99022366063007,2.800651641573197,hora,0.1085118732177555,2,14581
PR0023037,41.99014575877448,2.800249543124226,hora,0.1085118732177555,2,14582
PR0023036,41.990028181352166,2.799661092217379,hora,0.1085118732177555,2,14583
PR0023035,41.989907004568906,2.799091766047715,hora,0.1085118732177555,2,14584
PR0023034,41.99014658883743,2.7990127227186816,hora,0.1085118732177555,2,14585
PR0023032,41.99090966711648,2.798762374957329,hora,0.0485962389862489,2,14586
PR0023033,41.99047951156881,2.7989039643339013,hora,0.0191461802537951,2,14587
PR0023031,41.99005888621208,2.7986079049294315,hora,0.1085118732177555,2,14588
PR0023029,41.99086676919478,2.7983405699173045,hora,0.0004190942702269,2,14589
PR0023030,41.99044578756763,2.798479634106086,hora,0.0485962389862489,2,14590
PR0023028,41.98983111244069,2.7986831941567663,hora,0.1085118732177555,2,14591
PR0023027,41.98974606808233,2.7982129238064557,hora,0.0,2,14592
PR0023026,41.98963499563729,2.7976265121738835,hora,0.0,2,14593
PR0023025,41.98954326273476,2.797145303769024,hora,0.0,2,14594
PR0023024,41.989871524759394,2.7970402336596027,hora,0.0,2,14595
PR0024226,41.95589834827476,2.821776494559444,hora,0.0534975708759224,2,13157
PR0023023,41.99015431414069,2.7969466670636685,hora,0.0,2,14596
PR0023021,41.990870346339904,2.7967134251901697,hora,0.0,2,14597
PR0023022,41.99059323507682,2.79680239348189,hora,0.0,2,14598
PR0023019,41.99078489060407,2.8057693301021183,hora,14.399418308932312,2,14599
PR0023020,41.99046483063083,2.8058773140739866,hora,14.399418308932312,2,14600
PR0023018,41.990068806224336,2.807516937568863,hora,0.027761373329901,2,14601
PR0023017,41.989777904540674,2.806730706935347,hora,0.0946410454428443,2,14602
PR0023016,41.98998425613848,2.807231929649308,hora,0.0946410454428443,2,14603
PR0023015,41.99012487235799,2.807794851308729,hora,0.027761373329901,2,14604
PR0023013,41.99037841132798,2.808650170075149,hora,2.809787482480891,2,14605
PR0023014,41.99031318155277,2.808442203637139,hora,2.809787482480891,2,14606
PR0023012,41.98983631118392,2.806409430767357,hora,0.4038017938894693,2,14607
PR0023011,41.98972198554182,2.805818498651918,hora,0.4038017938894693,2,14608
PR0023010,41.98961820943863,2.805214980922347,hora,3.3917039526978434,2,14609
PR0023009,41.98952541778973,2.804637702007987,hora,3.3917039526978434,2,14610
PR0023008,41.989829166943785,2.804541171964918,hora,3.3917039526978434,2,14611
PR0023007,41.99027000019787,2.804398261404174,hora,3.3917039526978434,2,14612
PR0023006,41.99069282529814,2.8042585548812764,hora,3.3917039526978434,2,14613
PR0023005,41.99113441225703,2.804108913417675,hora,0.0566060981416551,2,14614
PR0023004,41.9895751480154,2.8089019185350854,hora,0.027761373329901,2,14615
PR0023003,41.98963252602805,2.808682229853269,hora,0.027761373329901,2,14616
PR0023002,41.98973287701544,2.8082980016076844,hora,0.027761373329901,2,14617
PR0023001,41.98969573077893,2.807916542977934,hora,0.027761373329901,2,14618
PR0023000,41.98963668279264,2.807310146773041,hora,0.0946410454428443,2,14619
PR0022998,41.98965077369802,2.806844000687762,hora,0.0946410454428443,2,14620
PR0022999,41.98963525418279,2.807150256073668,hora,0.0946410454428443,2,14621
PR0022997,41.9897459902124,2.8061190869847725,hora,0.4038017938894693,2,14622
PR0022996,41.98963608236598,2.8055317163697,hora,3.3917039526978434,2,14623
PR0022995,41.98954992846879,2.8049693506512723,hora,3.3917039526978434,2,14624
PR0022992,41.99164257064857,2.8018342749322027,hora,0.0087288761197901,2,14625
PR0022991,41.99154041948393,2.801234603926453,hora,0.0299275752678517,2,14626
PR0022990,41.99144058502582,2.800658711683237,hora,2.382952902158627,2,14627
PR0022989,41.99134960176494,2.800135021886164,hora,2.382952902158627,2,14628
PR0022987,41.99109833021559,2.798685010234414,hora,0.0485962389862489,2,14629
PR0022988,41.99124358340877,2.799523017679605,hora,0.0191461802537951,2,14630
PR0024342,41.97763211057447,2.811144343670337,hora,0.0910498042429208,2,13047
PR0022982,41.9917024121501,2.8027901884469086,hora,0.0482816719443528,2,14631
PR0024239,41.977070681161806,2.8086081997335564,hora,3.744010847512509,2,13158
PR0022981,41.99144120707544,2.8012846648227003,hora,0.0299275752678517,2,14632
PR0022980,41.99133861048008,2.8006894891649354,hora,2.382952902158627,2,14633
PR0022979,41.99124787441325,2.800168032909282,hora,2.382952902158627,2,14634
PR0022977,41.99106321333033,2.799097873892234,hora,0.0191461802537951,2,14635
PR0022978,41.99114563038052,2.7995764858374,hora,0.0191461802537951,2,14636
PR0022973,41.991449603274766,2.8056790017405864,hora,14.399418308932312,2,14637
